"student_number","academic_year","school_name","region","grade_level_id","enrollment_status","graduate","took_test","exam_name","ap_result","admin_year","ib_school","ap_group","passed","cum_passed","subject","tcp_course_code","grade"
108005140,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Biology",1,13,TRUE,"Science",FALSE,1,"Biology",NA,NA
108005140,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"English Language and Composition",2,13,TRUE,"English",FALSE,1,"English",NA,NA
108005140,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"Studio Art: 2-D Design Portfolio",3,13,TRUE,"Other",TRUE,2,"Art",NA,NA
108005140,"2021-2022","McAllen","Rio Grande Valley",11,0,FALSE,1,"World History",1,13,TRUE,"Humanities",FALSE,2,NA,NA,NA
108005164,"2021-2022","McAllen","Rio Grande Valley",12,3,TRUE,1,"Calculus AB",3,13,TRUE,"Math",TRUE,12,"Math","IB-MA-MA-SL","7"
108005705,"2021-2022","Frontier","Rio Grande Valley",12,3,TRUE,1,"Computer Science Principles",NA,13,TRUE,"Other",NA,5,NA,NA,NA
108005705,"2021-2022","Frontier","Rio Grande Valley",12,3,TRUE,1,"English Literature and Composition",1,13,TRUE,"English",FALSE,5,"English","IB-ELA-ENG-HL","4"
108005705,"2021-2022","Frontier","Rio Grande Valley",12,3,TRUE,1,"Studio Art: 2-D Design Portfolio",2,13,TRUE,"Other",FALSE,5,"Art","IB-FA-ART-SL","4"
108005705,"2021-2022","Frontier","Rio Grande Valley",12,3,TRUE,1,"United States History",1,13,TRUE,"Humanities",FALSE,5,"History","IB-SS-HIST-HL","4"
108005709,"2021-2022","Frontier","Rio Grande Valley",12,3,TRUE,1,"English Literature and Composition",3,13,TRUE,"English",TRUE,3,"English","IB-ELA-ENG-HL","5"
108005709,"2021-2022","Frontier","Rio Grande Valley",12,3,TRUE,1,"United States History",1,13,TRUE,"Humanities",FALSE,3,"History","IB-SS-HIST-HL","4"
108005711,"2021-2022","Brownsville","Rio Grande Valley",11,0,FALSE,1,"Computer Science Principles",1,13,TRUE,"Other",FALSE,0,NA,NA,NA
108005711,"2021-2022","Brownsville","Rio Grande Valley",11,0,FALSE,1,"United States Government and Politics",1,13,TRUE,"Humanities",FALSE,0,NA,NA,NA
108005715,"2021-2022","Frontier","Rio Grande Valley",12,3,TRUE,1,"English Literature and Composition",2,13,TRUE,"English",FALSE,5,"English","IB-ELA-ENG-HL","4"
