"academic_year","school_name","n_seniors"
"2021-2022","Mission",89
"2021-2022","San Benito",76
"2021-2022","Donna",54
"2021-2022","Toros",42
"2021-2022","San Juan CP",95
"2021-2022","Alamo",60
"2021-2022","Quest",82
"2021-2022","McAllen",90
"2021-2022","Weslaco",89
"2021-2022","Edinburg",66
"2021-2022","Frontier",80
"2021-2022","Brownsville",69
"2021-2022","Riverview",111
"2021-2022","Carver",73
"2021-2022","Walzem",55
"2021-2022","North Mission",90
"2021-2022","Weslaco Pike",69
"2021-2022","Pharr",81
"2021-2022","Rundberg",80
"2021-2022","Montopolis",80
"2021-2022","Eastside",57
"2021-2022","Monterrey Park",76
"2021-2022","South Flores",74
